"","StationID","species","min.year","max.year","b.linear","SE.b.linear","pval.lin","AIC.linear","nobs.linear","r2.lin","best_linear","b.poly","SE.b.poly","pval.b.poly","c.poly","SE.c.poly","pval.c.poly","AIC.poly","nobs.poly","r2.poly","best_poly","vote","UCI","MOSout","UDI","organism.group","measure","transformation","Phylum","Class","Order","Family","Genus","origin","enter","DOI","lat","long"
"1","Langeoog","Agonus cataphractus",1993,2007,-0.123684996283653,0.039528493044813,0.007988011692194,34.0214816627345,15,0.385714215581181,"lm",-2.06964584545097,0.66545847806015,0.00901908077136682,0.611135486490581,0.665458478060149,0.376516413991112,35.0026316707456,15,0.378224160162734,"lm","negative linear","Langeoog Agonus cataphractus",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Perciformes","Agonidae","Agonus",NA,"Anika Happe",NA,NA,NA
"2","Langeoog","Ammodytes tobianus",1993,2007,-0.106691768448415,0.0873260605645982,0.243489860068945,57.8002970890289,15,0.033996782510866,"lm",-1.78529475642035,1.094353159351,0.12876012264757,3.65879142053852,1.094353159351,0.00585184902238198,49.9259067265141,15,0.458189027285246,"lm","negative to positive","Langeoog Ammodytes lancea",TRUE,"AH005","fish","biomass","log1p","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes",NA,"Anika Happe",NA,NA,NA
"3","Langeoog","Anguilla anguilla",1993,2007,-0.124229930223481,0.175360132229337,0.491188378823524,78.7160817537368,15,-0.0368934508615375,"lm",-2.07876433434206,2.99901160852153,0.501411370824329,2.00135779265579,2.99901160852153,0.517183430289617,80.1694858431317,15,-0.0831052605505955,"lm","no","Langeoog Anguilla anguilla",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla",NA,"Anika Happe",NA,NA,NA
"4","Langeoog","Callionymus lyra",1993,2007,-0.134989636887785,0.10759811271895,0.231721644496844,64.0629222532194,15,0.0393820586623712,"lm",-2.2588086636072,1.83911276883191,0.242914943887386,1.24641033977915,1.83911276883191,0.510803041062374,65.4995006607454,15,-0.00230540884721697,"lm","no","Langeoog Callionymus lyra",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Callinoymiformes","Callionymidae","Callionymus",NA,"Anika Happe",NA,NA,NA
"5","Langeoog","Ciliata mustela",1993,2007,0.101767067483153,0.13668010060931,0.469781820915132,71.2401239198256,15,-0.0328768091497347,"lm",1.70288874761505,2.25559848181239,0.464832266387879,2.63586485076671,2.25559848181239,0.265261317335761,71.6234629227017,15,-0.00462389282266629,"lm","no","Langeoog Ciliata mustela",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Gadiformes","Lotidae","Ciliata",NA,"Anika Happe",NA,NA,NA
"6","Langeoog","Clupea harengus",1993,2007,-0.0609108979456105,0.0576934423519899,0.310300478111513,45.3651345089022,15,0.00812250968259365,"lm",-1.01923426982777,0.981157273197277,0.319373128647928,0.750883506386081,0.981157273197276,0.45887845503072,46.6503273363294,15,-0.0245292298980666,"lm","no","Langeoog Clupea harengus",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea",NA,"Anika Happe",NA,NA,NA
"7","Langeoog","Gadus morhua",1993,2007,-0.0320412767658554,0.0611335220828392,0.60901591831883,47.102639779256,15,-0.0546376624431226,"lm",-0.53615310938216,1.01338543533798,0.60640447257658,-1.1315471242238,1.01338543533798,0.286024284311702,47.619901982833,15,-0.034988982010729,"lm","no","Langeoog Gadus morhua",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Gadiformes","Gadidae","Gadus",NA,"Anika Happe",NA,NA,NA
"8","Langeoog","Gasterosteus aculeatus",1993,2007,NA,NA,NA,NA,NA,NA,"No best model",0.257556457935559,1.24106515322071,0.839077251676561,-2.63278863162465,1.24106515322071,0.055397322144396,53.7001028891804,15,0.153740157573155,"lm","no","Langeoog Gasterosteus aculeatus",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Perciformes","Gasterosteidae","Gasterosteus",NA,"Anika Happe",NA,NA,NA
"9","Langeoog","Limanda limanda",1993,2007,NA,NA,NA,NA,NA,NA,"No best model",-3.06803629295171,2.25048862834073,0.197826899849075,3.32082954799154,2.25048862834073,0.165801292659733,71.5554235501322,15,0.126960354592309,"lm","no","Langeoog Limanda limanda",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda",NA,"Anika Happe",NA,NA,NA
"10","Langeoog","Liparis liparis",1993,2007,-0.129340236332599,0.100370287686451,0.219987936363916,61.9768157420335,15,0.0450575371634,"lm",-2.16427611123913,1.70274760203729,0.227797590801061,-1.37035607490365,1.70274760203729,0.436595597255203,63.1882982119305,15,0.0184568631636536,"lm","no","Langeoog Liparis liparis",NA,"AH005","fish","biomass","log1p","Chordata","Teleostei","Perciformes","Liparidae","Liparis",NA,"Anika Happe",NA,NA,NA
