"","StationID","species","min.year","max.year","b.linear","SE.b.linear","pval.lin","AIC.linear","nobs.linear","r2.lin","best_linear","b.poly","SE.b.poly","pval.b.poly","c.poly","SE.c.poly","pval.c.poly","AIC.poly","nobs.poly","r2.poly","best_poly","vote","UCI","MOSout","UDI","organism.group","measure","transformation","Phylum","Class","Order","Family","Genus"
"1","170","Linyphiidae_species",2017,2023,0.0862759212846587,0.0771806940413889,0.314446771449983,10.9727823540048,7,0.0399345051986971,"lm",0.456529263704456,0.352916041049643,0.26545036511298,0.579449226817166,0.352916041049643,0.175957271958288,9.36647762785432,7,0.283084008011181,"lm","no","170 Linyphiidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Arachnida","Araneae","Linyphiidae",NA
"2","170","Philoscia_muscorum",2017,2023,-0.282162587649727,0.227781464315176,0.270420735211511,26.1241049864853,7,0.0817942373781648,"lm",-1.49306407241545,1.33385939587252,0.325662032833408,0.383525509127023,1.33385939587252,0.787987387077408,27.9809005309196,7,-0.12451519023346,"lm","no","170 Philoscia_muscorum",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia"
"3","170","Porcellio_scaber",2017,2023,0.0698116460740259,0.201214290208074,0.742753133243059,24.3878779223174,7,-0.1717890605096,"lm",0.369408508255438,1.142025170843,0.762546043141558,0.67180407738949,1.142025170843,0.58797013925869,25.8070730774477,7,-0.348109341501698,"lm","no","170 Porcellio_scaber",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio"
"4","170","Staphylinidae_species",2017,2023,-0.0570429776702026,0.0331856829257628,0.146268691404304,-0.84364888568518,7,0.245722143723787,"lm",-0.301843065915949,0.148607026906838,0.11206603083296,0.256601526477497,0.148607026906838,0.159294056078699,-2.74246909658896,7,0.459805075756181,"lm","no","170 Staphylinidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA
"5","185","Linyphiidae_species",2017,2023,-0.0171669505787498,0.0800509033572172,0.838667542060457,11.4839696140717,7,-0.189063237351135,"lm",-0.0908389640015095,0.412514721152233,0.836491644831673,0.465260160871178,0.412514721152233,0.322448402688231,11.5510615424837,7,-0.12769940024943,"lm","no","185 Linyphiidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Arachnida","Araneae","Linyphiidae",NA
"6","185","Philoscia_muscorum",2017,2023,-0.0406940815424219,0.0823956534256193,0.64231547165053,11.8881490756853,7,-0.14418141995968,"lm",-0.215332839186969,0.483479586246995,0.679085741708154,-0.124322472669963,0.483479586246995,0.809755517277306,13.7733823485058,7,-0.406969033266063,"lm","no","185 Philoscia_muscorum",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Philosciidae","Philoscia"
"7","185","Porcellio_scaber",2017,2023,0.0711951463745459,0.148272491489387,0.651381020341261,20.1134158286896,7,-0.147105215279682,"lm",0.376729303723629,0.874047636461153,0.688667434159761,0.148409431416362,0.874047636461153,0.873412455897894,22.0631433373928,7,-0.423620581098341,"lm","no","185 Porcellio_scaber",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio"
"8","185","Staphylinidae_species",2017,2023,-0.0066854459652955,0.0551332407763549,0.908207717403347,6.26323088589475,7,-0.196481401840821,"lm",-0.0353760548555165,0.325452506563864,0.918676508758784,-0.04332501905106,0.325452506563864,0.900525108042807,8.23228662917142,7,-0.489004874923129,"lm","no","185 Staphylinidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Insecta","Coleoptera","Staphylinidae",NA
"9","200","Linyphiidae_species",2017,2023,0.186012147901055,0.0765258693519156,0.0593287785628083,10.8534953058393,7,0.449962545241545,"lm",0.984283768366332,0.431986028439947,0.0849262036671032,-0.270964020010748,0.431986028439947,0.564519130351875,12.1967604896243,7,0.374024854070682,"lm","positive linear","200 Linyphiidae_species",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Arachnida","Araneae","Linyphiidae",NA
"10","200","Porcellio_scaber",2017,2023,0.0335573992310899,0.096724987935308,0.742764115508972,14.1328963359605,7,-0.171791527457757,"lm",0.177569066023075,0.57093502399448,0.771323481016533,0.0770328128655119,0.57093502399448,0.899188991186318,16.1011107811368,7,-0.458103407824023,"lm","no","200 Porcellio_scaber",NA,"OF001","macroinvertebrates","abundance","log1p","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio"
