"","StationID","species","min.year","max.year","b.linear","SE.b.linear","pval.lin","AIC.linear","nobs.linear","r2.lin","best_linear","b.poly","SE.b.poly","pval.b.poly","c.poly","SE.c.poly","pval.c.poly","AIC.poly","nobs.poly","r2.poly","best_poly","vote","UCI","MOSout","UDI","organism.group","measure","transformation","Phylum","Class","Order","Family","Genus","origin","enter","DOI","lat","long"
"1","BOCHTVWTM","Actinoptychus senarius",2007,2018,-0.030531593754515,0.045924253019455,0.522830788750498,19.9779364217288,11,-0.0590985073993333,"lm",-0.335721343983058,0.514799533042776,0.53259632470101,-0.418171328831668,0.514799533042776,0.440119959951118,21.1061470610293,11,-0.100701318551155,"lm","no","BOCHTVWTM Actinoptychus senarius",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Coscinodiscales","Heliopeltaceae","Actinoptychus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"2","BOCHTVWTM","Asteroplanus karianus",2007,2018,-0.588175353586129,0.615466837929245,0.364208686451469,77.0764658254292,11,-0.00874777967714202,"lm",-6.4674979560951,7.15853876660975,0.392670080410103,1.49841007256378,7.15853876660975,0.839431966928512,79.0163859881186,11,-0.128659868454358,"lm","no","BOCHTVWTM Asteroplanus karianus",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Fragilariales","Fragilariaceae","Asteroplanus","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"3","BOCHTVWTM","Chaetoceros sp.",2007,2018,NA,NA,NA,NA,NA,NA,"No best model",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No best model","no","BOCHTVWTM Chaetoceros sp.",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"4","BOCHTVWTM","Chaetoceros subtilis",2007,2018,0.0983645758854241,0.0617066714349453,0.145385229800338,26.4767075205169,11,0.133527710160041,"lm",1.0816037931756,0.560065424198496,0.0895533182383269,1.27831848394341,0.560065424198496,0.0518729882558113,22.9602198788764,11,0.409650763308286,"lm","positive accelerating","BOCHTVWTM Chaetoceros subtilis",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Chaetocerotanae incertae sedis","Chaetocerotaceae","Chaetoceros","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"5","BOCHTVWTM","Chromista",2007,2018,0.218786692210844,0.205161415493099,0.314007558400278,52.907617738452,11,0.0135377696578107,"lm",2.40574936720322,1.95109992745151,0.25256812738733,-3.91772358677484,1.95109992745151,0.0795296884223258,50.4183088242263,11,0.262114191456261,"lm","positive to negative","BOCHTVWTM Chromista",TRUE,"HLH001","phytoplankton","biomass","log1p",NA,NA,NA,NA,"Chromista","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"6","BOCHTVWTM","Cryptomonadales",2007,2018,0.120233911936978,0.0316799569146049,0.00424813187953208,11.8091349277878,11,0.572723627495716,"lm",1.3220761036051,0.332206364238883,0.00406349619178643,-0.457418987207854,0.332206364238883,0.205838031037827,11.4696803572707,11,0.611405496031732,"lm","positive linear","BOCHTVWTM Cryptomonadales",NA,"HLH001","phytoplankton","biomass","log1p","Cryptophyta","Cryptophyceae","Cryptomonadales",NA,"Cryptomonadales","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"7","BOCHTVWTM","Delphineis sp.",2007,2018,0.0716880438899587,0.0896332456087718,0.444426944965662,34.6900608852388,11,-0.0373800319842494,"lm",0.788272195541549,1.04038348689041,0.4703725846145,0.288789743728144,1.04038348689041,0.788373019355707,36.5846231049806,11,-0.155919484248082,"lm","no","BOCHTVWTM Delphineis sp.",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Rhaponeidales","Rhaphoneidaceae","Delphineis","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"8","BOCHTVWTM","Eunotogramma dubium",2007,2018,0.0881305854324803,0.0703435733926006,0.241829389672993,29.3586937797446,11,0.0538954065926819,"lm",0.969072195356029,0.820386403194276,0.271430938777704,-0.0170411643449272,0.820386403194276,0.983936183102448,31.3581005094434,11,-0.0643102638833557,"lm","no","BOCHTVWTM Eunotogramma dubium",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Anaulales","Anaulaceae","Eunotogramma","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"9","BOCHTVWTM","Eutreptiella sp.",2007,2018,0.0215904853863647,0.0905128394235936,0.81680875518722,34.9049000553961,11,-0.104130677499243,"lm",0.237406105604502,1.03361499349485,0.8241000899038,0.606737622103674,1.03361499349485,0.573388588523921,36.4410286088855,11,-0.190854613895831,"lm","no","BOCHTVWTM Eutreptiella sp.",NA,"HLH001","phytoplankton","biomass","log1p","Euglenozoa","Euglenoidea","Eutreptiida","Eutreptiaceae","Eutreptiella","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
"10","BOCHTVWTM","Guinardia delicatula",2007,2018,NA,NA,NA,NA,NA,NA,"No best model",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No best model","no","BOCHTVWTM Guinardia delicatula",NA,"HLH001","phytoplankton","biomass","log1p","Ochrophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Rijkswaterstaat NL","Helmut Hillebrand","10.1007/s12526-023-01382-9",NA,NA
